,Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Fleet
31384,10/10/21,nan,05:23,Sunday,YONGE AND POYNTZ,Collision - TTC,0,0,0
31742,10/13/21,nan,11:13,Wednesday,YONGE AND DAVISVILLE,Emergency Services,0,0,0
31744,10/13/21,nan,11:52,Wednesday,MUNSTER AND KIPLING,Collision - TTC,0,0,1398
31849,10/14/21,nan,08:03,Thursday,ST GEORGE STATION,Collision - TTC,0,0,0
32200,10/16/21,nan,17:48,Saturday,DUNDAS WEST STATION,Security,0,0,0
32215,10/16/21,nan,19:29,Saturday,LESLIE BARNS,Investigation,0,0,0
32348,10/18/21,nan,13:25,Monday,COXWELL LOOP,Collision - TTC,0,0,0
32419,10/19/21,nan,02:52,Tuesday,HARVEY SHOP,Investigation,0,0,0
32551,10/19/21,nan,20:12,Tuesday,WILSON GARAGE,Operations - Operator,0,0,8155
32849,10/22/21,nan,12:57,Friday,25 MONTGOMERY AVE,Utilized Off Route,0,0,0
33240,10/26/21,nan,07:29,Tuesday,40 SHAFT ROAD,Utilized Off Route,0,0,0
33431,10/27/21,nan,05:50,Wednesday,MOUNT DENNIS DIVISION,Operations - Operator,0,0,0
33444,10/27/21,nan,08:21,Wednesday,KIPLING STATION,Operations - Operator,19,38,8075
33564,10/27/21,nan,16:48,Wednesday,MARKHAM AND MILNER,Operations - Operator,13,25,1294
33745,10/28/21,nan,16:57,Thursday,EGLINTON STATION,Mechanical,30,60,8331
33820,10/29/21,nan,06:30,Friday,TRANSIT CONTROL,Vision,0,0,0
33852,10/29/21,nan,14:55,Friday,DUFFERIN AND BLOOR,General Delay,0,0,0
33904,10/30/21,nan,02:00,Saturday,TRANSIT CONTROL,Vision,0,0,0
33906,10/30/21,nan,03:08,Saturday,QUEENSWAY DIVISION,Operations - Operator,0,0,0
33960,10/31/21,nan,02:00,Sunday,TRANSIT CONTROL,Vision,0,0,0
33969,10/31/21,nan,12:51,Sunday,JANE AND SPENVALLEY,Security,0,0,1031
33970,10/31/21,nan,13:28,Sunday,ELLESMERE SUBSTATION,Security,0,0,837
33982,10/31/21,nan,19:43,Sunday,WILSON GARAGE,Operations - Operator,0,0,8340
33985,10/31/21,nan,22:15,Sunday,WARDEN STATION,Emergency Services,0,0,9239
34021,11/1/21,nan,20:59,Monday,WILSON GARAGE,Operations - Operator,0,0,8172
34059,11/2/21,nan,19:21,Tuesday,MCNICOLL GARAGE,Mechanical,0,0,3302
34136,11/4/21,nan,11:40,Thursday,148 VAUGHAN ROAD,Security,0,0,0
34247,11/6/21,nan,03:22,Saturday,25 LAURALYNN CRES,Utilized Off Route,0,0,3327
34248,11/6/21,nan,03:26,Saturday,LAKE SHORE GARAGE,General Delay,0,0,0
34334,11/7/21,nan,09:59,Sunday,QUEEN AND LEE,Collision - TTC,0,0,0
34390,11/8/21,nan,04:40,Monday,75 TANDRIDGE (ALBION A,Utilized Off Route,0,0,0
34394,11/8/21,nan,05:51,Monday,BIRCHMOUNT GARAGE,Collision - TTC,0,0,8604
34513,11/9/21,nan,14:01,Tuesday,FINCH STATION - BUS BA,Investigation,0,0,0
34858,11/12/21,nan,14:19,Friday,WILSON YARD,Investigation,0,0,106
35020,11/13/21,nan,20:07,Saturday,MALVERN YARD,Collision - TTC,0,0,1351
35375,11/16/21,nan,23:35,Tuesday,MARKHAM AND SHEPPARD,Mechanical,10,20,1352
35614,11/18/21,nan,15:11,Thursday,BLOOR STREET 1 STOP WE,Emergency Services,0,0,0
36065,11/22/21,nan,03:08,Monday,KIPLING STATION,Emergency Services,0,0,0
36156,11/22/21,nan,22:51,Monday,MIDLAND AND STEELES,Diversion,41,51,0
36183,11/23/21,nan,08:07,Tuesday,127 QUEBEC AVE,Utilized Off Route,0,0,1093
36202,11/23/21,nan,13:42,Tuesday,KENNEDY AND MCNICOLL,Operations - Operator,10,20,3242
36450,11/25/21,nan,14:14,Thursday,BLACK CREEK AND EGLINT,Collision - TTC,0,0,0
36556,11/26/21,nan,08:39,Friday,HIGHWAY 401 AND KEELE,Security,0,0,3728
36877,11/30/21,nan,04:03,Tuesday,QUEENSWAY GARAGE,Collision - TTC,0,0,8085
37009,12/1/21,nan,05:09,Wednesday,LANDOWNE AND DUPONT,Collision - TTC,0,0,0
37106,12/1/21,nan,22:23,Wednesday,MOUNT DENNIS GARAGE,Emergency Services,0,0,9032
37135,12/2/21,nan,09:18,Thursday,GREENWOOD CARHOUSE,Operations - Operator,0,0,0
37264,12/3/21,nan,10:14,Friday,90 EASTDALE AVE (DAWES,Utilized Off Route,0,0,0
37446,12/4/21,nan,21:46,Saturday,QUEENSWAY GARAGE,Collision - TTC,0,0,8009
37771,12/7/21,nan,00:44,Tuesday,65 HALSEY (DANFORTH AN,Utilized Off Route,0,0,0
37884,12/8/21,nan,18:44,Wednesday,ARROW ROAD GARAGE,Collision - TTC,0,0,3551
37947,12/9/21,nan,09:14,Thursday,ARROW DIVISION,Operations - Operator,0,0,0
38539,12/14/21,nan,07:53,Tuesday,QUEEN ST W AND GORE VA,Emergency Services,0,0,0
38575,12/14/21,nan,14:54,Tuesday,40 CARL HALL RD - UNIT,Security,0,0,0
38758,12/15/21,nan,21:55,Wednesday,751 WOODBINE AVE,Utilized Off Route,0,0,0
38836,12/16/21,nan,13:55,Thursday,KINGSTON AND BEECHGROV,Utilized Off Route,0,0,0
39156,12/17/21,nan,01:55,Friday,PHARMACY AND LAWRENCE,Diversion,315,345,0
39351,12/19/21,nan,15:35,Sunday,GRENOBLE AND DEAUVILLE,Investigation,94,38,8681
39366,12/19/21,nan,18:31,Sunday,EGLINTON AND BELLAMY,Utilized Off Route,0,0,8780
39427,12/20/21,nan,08:46,Monday,MCCOWAN CARHOUSE,Collision - TTC,0,0,0
39563,12/20/21,nan,00:12,Monday,QUEENSWAY GARAGE,Collision - TTC,0,0,8032
39724,12/22/21,nan,05:08,Wednesday,QUEENSWAY GARAGE,Collision - TTC,0,0,8077
39745,12/22/21,nan,07:07,Wednesday,MT DENNIS GARAGE,Collision - TTC,0,0,9030
39918,12/22/21,nan,18:26,Wednesday,COXWELL STATION,Operations - Operator,24,48,8411
39939,12/22/21,nan,19:27,Wednesday,ARROW GARAGE,Collision - TTC,0,0,3702
40128,12/23/21,nan,15:12,Thursday,MCNICOLL DIVISION,Operations - Operator,0,0,3165
40154,12/23/21,nan,16:09,Thursday,BAYVIEW AND SCENIC MIL,Utilized Off Route,0,0,3654
40181,12/23/21,nan,17:32,Thursday,KIPLING STATION,Operations - Operator,8,16,0
40195,12/23/21,nan,18:16,Thursday,ST CLAIR AND SCARLETT,Utilized Off Route,0,0,0
40217,12/23/21,nan,19:16,Thursday,EGLINTON AND TIMES RD,Utilized Off Route,0,0,0
40287,12/24/21,nan,08:11,Friday,RUSSELL DIVISION,Emergency Services,0,0,0
40547,12/25/21,nan,03:57,Saturday,225 SCARBOROUGH GOLD C,Utilized Off Route,0,0,0
40553,12/25/21,nan,05:11,Saturday,1 REPLIN RD,Utilized Off Route,30,60,8926
40565,12/25/21,nan,08:37,Saturday,EGLINTON AVE W AND BIC,Operations - Operator,0,0,0
40708,12/26/21,nan,16:45,Sunday,QUEEN AND RONCEVALLES,Security,0,0,0
40740,12/27/21,nan,04:28,Monday,8 PELL STREET,Utilized Off Route,0,0,8520
41070,12/28/21,nan,19:49,Tuesday,QUEENSWAY GARAGE,Investigation,0,0,8061
41648,12/30/21,nan,15:34,Thursday,STEELES AND KIPLING,Operations - Operator,10,20,1133
41677,12/30/21,nan,17:32,Thursday,KIPLING STATION,Operations - Operator,10,20,0
41693,12/30/21,nan,18:09,Thursday,KIPLING STATION,Operations - Operator,10,20,0
41897,12/31/21,nan,10:22,Friday,LAKE SHORE GARAGE,Mechanical,0,0,0
42167,12/31/21,nan,17:12,Friday,BROADVIEW STATION,Operations - Operator,9,18,8756
42215,12/31/21,nan,19:04,Friday,KIPLING STATION,Operations - Operator,15,30,0
42638,1/3/22,nan,08:50,Monday,MCCAUL AND BALDWIN,Utilized Off Route,0,0,0
42651,1/3/22,nan,09:51,Monday,MCNICOLL GARAGE,Operations - Operator,0,0,0
43179,1/5/22,nan,12:24,Wednesday,1411 LAWRENCE AVE WEST,Utilized Off Route,0,0,0
43892,1/7/22,nan,20:09,Friday,WILSON GARAGE,Investigation,0,0,8362
44358,1/10/22,nan,17:40,Monday,FINCH WEST STATION,Mechanical,12,24,1103
44439,1/11/22,nan,05:11,Tuesday,ARROW GARAGE,Investigation,0,0,3356
44507,1/11/22,nan,08:46,Tuesday,14 LIGHTWOOD DR,Utilized Off Route,0,0,0
44559,1/11/22,nan,13:54,Tuesday,33 ORCHARD VIEW BOULEV,Utilized Off Route,0,0,8822
44645,1/11/22,nan,21:52,Tuesday,427 N OF THE QUEENSWAY,Mechanical,20,42,8044
44653,1/11/22,nan,23:22,Tuesday,JANE STATION,Emergency Services,0,0,0
44663,1/11/22,nan,01:41,Tuesday,KIPLING STATION,Emergency Services,0,0,0
44909,1/13/22,nan,10:29,Thursday,MOUNT DENNIS GARAGE,Collision - TTC,0,0,3744
44913,1/13/22,nan,11:08,Thursday,PATTEN BUILDING,Emergency Services,0,0,0
44961,1/13/22,nan,16:11,Thursday,SYSTEMWIDE,Vision,0,0,0
45007,1/13/22,nan,00:22,Thursday,2567 EGLINTON EAST,Emergency Services,0,0,0
45267,1/15/22,nan,09:05,Saturday,GREENWOOD AND DOROTHY,Vision,20,40,8402
45631,1/17/22,nan,10:48,Monday,MCNICOLL DIV,Operations - Operator,0,0,0
45678,1/17/22,nan,23:59,Monday,ALL ROUTES,General Delay,0,0,0
45853,1/18/22,nan,14:44,Tuesday,SHEPPARD AND TUSCAN,Collision - TTC,0,0,1389
45915,1/18/22,nan,19:41,Tuesday,ROGERS AND SILVERTHON,Investigation,0,0,1091
45941,1/18/22,nan,01:32,Tuesday,FINCH AND BRAHMAS,Collision - TTC,0,0,3153
46019,1/19/22,nan,09:09,Wednesday,LAWRENCE W OF BATHURST,Collision - TTC,0,0,884
46033,1/19/22,nan,10:03,Wednesday,ALBION AND ISLINGTON,Collision - TTC,0,0,0
46101,1/19/22,nan,14:06,Wednesday,MALVERN DIVISION,Collision - TTC,0,0,0
46388,1/20/22,nan,15:20,Thursday,BRIMLEY AT MCNICOLL,Diversion,8,16,0
46483,1/21/22,nan,02:42,Friday,BIRCHMOUNT GARAGE,Investigation,0,0,8870
46488,1/21/22,nan,05:02,Friday,MT DENNIS GARAGE,General Delay,0,0,0
47526,1/27/22,nan,11:32,Thursday,79 B SCARLETT ROAD,Utilized Off Route,10,20,1093
47615,1/27/22,nan,23:46,Thursday,OSSINGTON STATION,Mechanical,21,44,1422
47621,1/28/22,nan,02:25,Friday,MALVERN DIVISION,Emergency Services,0,0,3470
48012,1/31/22,nan,06:19,Monday,608 CHURCH STREET,Utilized Off Route,0,0,8581
48361,2/2/22,nan,12:47,Wednesday,SHEPPARD-YONGE STATION,Utilized Off Route,11,20,0
48484,2/3/22,nan,03:52,Thursday,DAVISVILLE - ON CHAPLI,Collision - TTC,0,0,0
48580,2/3/22,nan,13:33,Thursday,HILLCREST YARD,General Delay,0,0,0
48752,2/4/22,nan,12:08,Friday,ARROW GARAGE,Collision - TTC,0,0,3566
49035,2/6/22,nan,22:20,Sunday,WILSON GARAGE,Emergency Services,0,0,8341
49042,2/7/22,nan,03:39,Monday,MALVERN DIVISION,Emergency Services,0,0,0
49077,2/7/22,nan,10:07,Monday,YORK HUMBER HIGHSCHOOL,Utilized Off Route,0,0,0
49206,2/8/22,nan,10:29,Tuesday,MCNICOLL GARAGE,Security,0,0,0
49450,2/10/22,nan,06:07,Thursday,BIRCHMOUNT GARAGE,Operations - Operator,0,0,0
49486,2/10/22,nan,13:57,Thursday,BLOOR AND DOVERCOURT,Collision - TTC,0,0,87
49604,2/11/22,nan,12:33,Friday,WILSON GARAGE - TRACK,Collision - TTC,0,0,8155
49606,2/11/22,nan,12:46,Friday,DUFFERIN AND BLOOR - R,Collision - TTC,0,0,6
49657,2/11/22,nan,17:04,Friday,WILSON DIVISION - TRAF,Operations - Operator,0,0,0
49684,2/11/22,nan,19:20,Friday,DAVENPORT AND DUFFERIN,Investigation,0,0,1674
49708,2/12/22,nan,03:28,Saturday,WILSON GARAGE,Collision - TTC,0,0,8305
49711,2/12/22,nan,05:18,Saturday,QUEENSWAY GARAGE,Collision - TTC,0,0,3337
49728,2/12/22,nan,09:34,Saturday,HILLCREST YARD,Collision - TTC,0,0,0
49775,2/12/22,nan,14:54,Saturday,YONGE AND ST CLAIR,Mechanical,1,2,3555
49996,2/14/22,nan,05:58,Monday,EGLINTON GARAGE - SERV,Emergency Services,0,0,8770
50022,2/14/22,nan,08:41,Monday,INGLIS BUILDING,Emergency Services,0,0,0
50035,2/14/22,nan,11:27,Monday,MALVERN GARAGE,Emergency Services,0,0,0
50078,2/14/22,nan,18:04,Monday,MALVERN DIVISION,Operations - Operator,0,0,0
