,stop_name,NAME,CATEGORY,dist
23,DUFFERIN MALL,Museum of Contemporary Canadian Art,Gallery,0.01176079633806846
24,DUNDAS ST WEST AT BLOOR ST WEST,Taras H. Shevchenko Museum,Museum,0.0029167534770014464
25,DUNDAS ST WEST AT JANE ST EAST SIDE,The Village Playhouse,Performing Arts,0.019817676472088114
26,DUNDAS ST WEST AT JANE ST WEST SIDE,The Village Playhouse,Performing Arts,0.021321967434282482
27,DUNDAS ST WEST AT RUNNYMEDE RD WEST SIDE,The Village Playhouse,Performing Arts,0.01459584102958759
28,DUPLEX AVE AT EGLINTON AVE WEST,Alexander Muir Memorial Gardens,Nature/ Park,0.017322642538980283
29,EAST YORK TOWN CENTRE,Ontario Science Centre,Attraction,0.015540997944746738
30,EASTERN AVE AT QUEEN ST EAST SOUTH SIDE,Woodbine Beach,Nature/ Park,0.003694080217758197
31,EDNA AVE AT DUNDAS ST WEST,Taras H. Shevchenko Museum,Museum,0.002193544253994937
32,EGLINTON AVE EAST AT BAYVIEW AVE EAST SIDE,Alexander Muir Memorial Gardens,Nature/ Park,0.027548499616832155
33,EGLINTON AVE EAST AT BRIMLEY RD WEST SIDE,Scarborough Museum,Museum,0.02452359470209527
34,EGLINTON AVE EAST AT EGLINTON SQ,Aga Khan Museum,Museum,0.031393302903913886
35,EGLINTON AVE EAST AT KENNEDY STATION,Scarborough Museum,Museum,0.02981124981746494
36,EGLINTON AVE EAST AT LAIRD DR,Toronto Botanical Gardens and Edwards Gardens,Nature/ Park,0.023981993290428962
37,EGLINTON AVE EAST AT MARKHAM RD WEST SIDE,Scarborough Village Theatre,Performing Arts,0.0032996936070336298
38,EGLINTON AVE EAST AT MIDLAND AVE WEST SIDE,Scarborough Museum,Museum,0.02569163907207243
39,EGLINTON AVE WEST AT AVENUE RD EAST SIDE,Alexander Muir Memorial Gardens,Nature/ Park,0.020142822350892462
40,EGLINTON AVE WEST AT GLENARDEN RD,Solar Stage Children's Theatre,Performing Arts,0.019616610163811193
41,EGLINTON AVE WEST AT JANE ST EAST SIDE,James Garden Park,Garden / Conservatory,0.021028784118997137
42,EGLINTON AVE WEST AT MARLEE AVE,Solar Stage Children's Theatre,Performing Arts,0.02226625573929971
43,EGLINTON AVE WEST AT MARLEE AVE,Solar Stage Children's Theatre,Performing Arts,0.02213718909437428
44,EGLINTON AVE WEST AT OAKWOOD AVE,Solar Stage Children's Theatre,Performing Arts,0.024395543733989934
45,EGLINTON AVE WEST AT WESTON RD,James Garden Park,Garden / Conservatory,0.029204616193950338
46,EGLINTON AVE WEST AT WESTON RD,James Garden Park,Garden / Conservatory,0.029901928149516366
47,EIGHTH ST AT BIRMINGHAM ST,Famous PEOPLE Players,Performing Arts,0.019586162647536955
48,EIGHTH ST AT LAKE SHORE BLVD WEST NORTH SIDE,Famous PEOPLE Players,Performing Arts,0.02164038434443051
49,ELLESMERE RD AT MIRROW CRT,Cedar Ridge Creative Centre,Gallery,0.035353690029082945
50,ELLESMERE RD AT EAST SERVICE RD,Scarborough Museum,Museum,0.01839669812456672
51,ELLESMERE RD AT EAST SERVICE RD,Scarborough Museum,Museum,0.01809204092664832
52,ELLESMERE RD AT MCCOWAN RD EAST SIDE,Scarborough Museum,Museum,0.013496693531070471
53,ELLESMERE RD AT PHARMACY AVE,Aga Khan Museum,Museum,0.03807289712668976
54,ELLESMERE RD AT VICTORIA PARK AVE,Aga Khan Museum,Museum,0.035204019642000824
55,ELLESMERE RD AT WEST SERVICE RD EAST SIDE,Scarborough Museum,Museum,0.023541451830567467
56,ELLESMERE RD AT WEST SERVICE RD,Scarborough Museum,Museum,0.02334863505066759
57,THE ESPLANADE AT LOWER JARVIS ST EAST SIDE,St. Lawrence Market and Market Gallery,Attraction,0.0030486924157090596
58,EVANS AVE AT BROWN'S LINE,CF Sherway Gardens,Landmark,0.008603832830409323
59,FARNBORO RD AT ATTWELL DR EAST SIDE,Toronto Congress Centre,Convention & Trade Centres,0.008996151142301236
60,FINCH AVE EAST AT FINCHDENE SQ WEST SIDE,Chinese Cultural Centre of Greater Toronto,Attraction,0.01888161699572967
61,FINCH AVE EAST AT NEILSON RD WEST SIDE,Chinese Cultural Centre of Greater Toronto,Attraction,0.02010173466530943
62,FINCH AVE EAST AT YONGE ST EAST SIDE,Gibson House Museum,Museum,0.008162868886687177
63,AIRPORT RD AT BEVERLEY ST,BAPS Shri Swaminarayan Mandir,Landmark,0.040777707821587045
64,AIRPORT RD AT BRESLER DR WEST SIDE,Toronto Pearson International Airport,Transportation,0.010163184140608735
65,AIRPORT RD AT BRESLER DR,Toronto Pearson International Airport,Transportation,0.01092432457729787
66,AIRPORT RD AT VICTORY CRES,BAPS Shri Swaminarayan Mandir,Landmark,0.04046233549417354
67,ALBION RD AT ELMHURST DR,Toronto Congress Centre,Convention & Trade Centres,0.042422237461674436
68,ALBION RD AT HUMBERLINE DR,BAPS Shri Swaminarayan Mandir,Landmark,0.006462195917096685
69,ALBION RD AT ISLINGTON AVE,Woodbine Shopping Centre and Fantasy Fair,Attraction,0.03787553878482908
70,ATTWELL DR AT BELFIELD RD NORTH SIDE,Toronto Congress Centre,Convention & Trade Centres,0.016272607960422115
71,ATTWELL DR AT DISCO RD,Woodbine Racetracks,Attraction,0.014511542660303812
72,ATTWELL DR AT MARMAC DR SOUTH SIDE,Toronto Congress Centre,Convention & Trade Centres,0.011778568283621922
73,ATTWELL DR AT MCLACHLAN DR,Toronto Congress Centre,Convention & Trade Centres,0.010813291949910007
74,AUKLAND RD AT DUNDAS ST WEST,Montgomery's Inn,Museum,0.020159264973270665
75,AVENUE RD AT OLD ORCHARD GROVE,Alexander Muir Memorial Gardens,Nature/ Park,0.02028242285157161
76,3174 BATHURST ST,Yorkdale Mall,Landmark,0.021668245966272988
77,BATHURST ST AT ELM RIDGE DR,Solar Stage Children's Theatre,Performing Arts,0.0235863160363622
78,BATHURST ST AT GLENCAIRN AVE,Yorkdale Mall,Landmark,0.028155484025432657
79,BATHURST ST AT ST CLAIR AVE WEST,Artscape Wychwood Barns,Landmark,0.0044929960292695754
80,BATHURST ST AT STEELES AVE WEST,Sarah and Chaim Neuberger Holocaust Education Centre,Museum,0.025955426388989733
81,BAYCREST HOME FOR AGED,Yorkdale Mall,Landmark,0.017179352341984887
82,WAGMAN CENTRE,Yorkdale Mall,Landmark,0.011383002951317988
83,BAYVIEW AVE AT VALLYANNA DR,Alexander Muir Memorial Gardens,Nature/ Park,0.02153354825322038
84,BELFIELD RD AT BROCKPORT DR WEST SIDE,Toronto Congress Centre,Convention & Trade Centres,0.01243247870842241
85,BELFIELD RD AT BROCKPORT DR,Toronto Congress Centre,Convention & Trade Centres,0.012933107603513148
86,BERRY RD AT PARK LAWN RD,Humber Bay Park (Humber Bay Butterfly Habitat),Nature/ Park,0.02008266389874464
87,BIRCHMOUNT RD AT FINCH AVE EAST,CF Fairview Mall,Landmark,0.042739553386687223
88,BIRCHMOUNT RD AT HIGHVIEW AVE SOUTH SIDE,Rosetta McClain Gardens,Nature/ Park,0.009785020303454114
89,BIRCHMOUNT RD AT HIGHVIEW AVE,Rosetta McClain Gardens,Nature/ Park,0.009510281714521163
90,BIRCHMOUNT RD AT STEELES AVE SOUTH SIDE,CF Fairview Mall,Landmark,0.04945350524517237
91,BLOOR ST WEST AT ISLINGTON AVE WEST SIDE,Montgomery's Inn,Museum,0.009243417401285913
92,BLOOR ST WEST AT ISLINGTON AVE,Montgomery's Inn,Museum,0.009123063839769957
93,BLOOR ST WEST AT JANE ST,The Village Playhouse,Performing Arts,0.010993192646041384
94,BRENTCLIFFE RD AT VANDERHOOF AVE,Ontario Science Centre,Attraction,0.02172091930643905
95,BROADVIEW AVE AT ERINDALE AVE,The Danforth Music Hall,Performing Arts,0.0019658033973753313
96,CHURCH ST AT UPHILL AVE,James Garden Park,Garden / Conservatory,0.036121786480206954
97,CORDOVA AVE AT DUNDAS ST WEST,Montgomery's Inn,Museum,0.005761421841481019
98,COXWELL AVE AT MORTIMER AVE (MICHAEL GARRON HOSPITAL),Ontario Science Centre,Attraction,0.02988143680619353
99,COXWELL AVE AT PLAINS RD,Ontario Science Centre,Attraction,0.024140694527671567
100,3450 DANFORTH AVE,Rosetta McClain Gardens,Nature/ Park,0.020272320999308743
101,DANFORTH AVE AT MAIN ST,Kew Gardens Park,Nature/ Park,0.01649421986933269
102,KEELE ST AT KEELEGATE DR,Downsview Park,Nature/ Park,0.016431492861155063
103,KEELE ST AT ST CLAIR AVE WEST,High Park,Nature/ Park,0.017002433475979007
104,KEELE ST AT ST CLAIR AVE WEST,High Park,Nature/ Park,0.01677694454300999
105,KEELE ST AT TORO RD,Downsview Park,Nature/ Park,0.01593382266354338
106,KEELE ST AT WILSON AVE NORTH SIDE,Downsview Park,Nature/ Park,0.021686126362507312
107,WILSON AVE AT KEELE ST NORTH SIDE,Downsview Park,Nature/ Park,0.021582245682841405
108,KENNEDY RD AT PROGRESS AVE,Scarborough Museum,Museum,0.027395664187719795
109,KING ST WEST AT SHAW ST EAST SIDE,Coca-Cola Coliseum (formerly Ricoh Coliseum),Sports / Entertainment Venue,0.003677989360981789
110,KING ST WEST AT STRACHAN AVE,Coca-Cola Coliseum (formerly Ricoh Coliseum),Sports / Entertainment Venue,0.005000482761190686
111,KIPLING AVE AT BELFIELD RD - ETOBICOKE NORTH GO STATION,Toronto Congress Centre,Convention & Trade Centres,0.018957849240149687
112,KIPLING AVE AT BLOOR ST WEST NORTH SIDE,Montgomery's Inn,Museum,0.015119316131626053
113,LANSDOWNE AVE AT DAVENPORT RD SOUTH SIDE,Museum of Contemporary Canadian Art,Gallery,0.014768357455879217
114,LANSDOWNE AVE AT DUNDAS ST WEST SOUTH SIDE,Museum of Contemporary Canadian Art,Gallery,0.009314648178293403
115,LANSDOWNE AVE AT ST CLAIR AVE WEST,Taras H. Shevchenko Museum,Museum,0.018731190338720546
116,LAWRENCE AVE EAST AT EAST AVE - ROUGE HILL GO STATION,Rouge Beach Park,Nature/ Park,0.01638658943467614
117,LAWRENCE AVE EAST AT ORTON PARK RD,Cedar Ridge Creative Centre,Gallery,0.004595143606764696
118,LAWRENCE AVE WEST AT CULFORD RD,Yorkdale Mall,Landmark,0.04219184630884897
119,LAWRENCE AVE WEST AT SCARLETT RD EAST SIDE,James Garden Park,Garden / Conservatory,0.025814082976609736
120,LAWRENCE AVE WEST AT VARNA DR WEST SIDE,Yorkdale Mall,Landmark,0.016990679639332124
121,LAWRENCE AVE WEST AT WESTON RD,James Garden Park,Garden / Conservatory,0.026910809595108245
122,LAWRENCE PLAZA AT CANADA TRUST,Yorkdale Mall,Landmark,0.020508849097424366
123,LAWRENCE SQ AT NORTHWEST ENTRANCE,Yorkdale Mall,Landmark,0.011285039408214948
124,LESLIE ST AT EASTERN AVE,Tommy Thompson Park,Nature/ Park,0.011799604481188672
125,LESLIE ST AT KIRKWOOD RD NORTH SIDE,Toronto Botanical Gardens and Edwards Gardens,Nature/ Park,0.020876177633250958
126,LESLIE ST AT LAWRENCE AVE EAST,Toronto Botanical Gardens and Edwards Gardens,Nature/ Park,0.003450424712861931
127,LESLIE ST AT QUEEN ST EAST SOUTH SIDE,Tommy Thompson Park,Nature/ Park,0.012823843941500733
128,LONSDALE RD AT AVENUE RD EAST SIDE,Spadina Museum,Museum,0.011407327932025845
129,EXHIBITION LOOP AT MANITOBA DR,Coca-Cola Coliseum (formerly Ricoh Coliseum),Sports / Entertainment Venue,0.0012929982911055965
130,EXHIBITION LOOP,Coca-Cola Coliseum (formerly Ricoh Coliseum),Sports / Entertainment Venue,0.0015372035843114922
131,TORONTO ZOO,Toronto Zoo,Attraction,0.006400807019685794
132,TORONTO ZOO,Toronto Zoo,Attraction,0.00650410170258234
133,TORONTO ZOO,Toronto Zoo,Attraction,0.006774704044624176
134,ROUGE HILL GO STATION LOOP AT LAWRENCE AVE EAST,Rouge Beach Park,Nature/ Park,0.015410702584999547
135,HUMBER LOOP AT THE QUEENSWAY,Humber Bay Park (Humber Bay Butterfly Habitat),Nature/ Park,0.010537631590836429
136,HUMBER LOOP AT THE QUEENSWAY,Humber Bay Park (Humber Bay Butterfly Habitat),Nature/ Park,0.010450234734740904
137,EARLSCOURT LOOP AT ST CLAIR AVE WEST,Taras H. Shevchenko Museum,Museum,0.018449997818533525
138,LONG BRANCH LOOP,Marie Curtis Park East Beach,Nature/ Park,0.003811252894172523
139,QUEENS QUAY LOOP AT LOWER SPADINA AVE,Toronto Music Garden,Nature/ Park,0.0016619373251343292
140,WESTWOOD SQUARE BUS TERMINAL AT MORNING STAR DR,BAPS Shri Swaminarayan Mandir,Landmark,0.025204913710838127
141,LUMSDEN AVE AT WESTLAKE AVE,Kew Gardens Park,Nature/ Park,0.024208166686330294
142,PROGRESS AVE AT MARKHAM RD EAST SIDE,Chinese Cultural Centre of Greater Toronto,Attraction,0.014743007627574203
143,QUEEN ELIZABETH HOSPITAL AT 130 DUNN AVE,Medieval Times Dinner and Tournament,Performing Arts,0.007673947929376555
144,QUEEN ST EAST AT KINGSTON RD,Woodbine Beach,Nature/ Park,0.0040066441948567386
145,QUEEN ST EAST AT KINGSTON RD,Woodbine Beach,Nature/ Park,0.004057583028510567
146,QUEEN ST WEST AT SHAW ST,Lower Ossington Theatre,Performing Arts,0.00477094961929758
147,QUEEN'S PARK CRES WEST AT HOSKIN AVE,Hart House Theatre,Performing Arts,0.0006265396456429165
148,QUEEN'S PARK CRES EAST AT ST JOSEPH ST NORTH SIDE,Queen's Park: Legislative Assembly of Ontario,Landmark,0.001636509236443468
149,THE QUEENSWAY AT MORGAN AVE,Famous PEOPLE Players,Performing Arts,0.020954970046162005
150,THE QUEENSWAY AT STEPHEN DR,Humber Bay Park (Humber Bay Butterfly Habitat),Nature/ Park,0.010231584972753113
151,THE QUEENSWAY AT WINDERMERE AVE WEST SIDE,Colborne Lodge,Museum,0.011824139266648773
152,55 RANKIN AVE,Museum of Contemporary Canadian Art,Gallery,0.00204507824689566
153,RATHBURN RD AT LLOYD MANOR RD,Montgomery's Inn,Museum,0.02162572582166494
154,RENFORTH DR AT EGLINTON AVE WEST,Centennial Park,Nature/ Park,0.006796597192190177
155,ROGERS RD AT KEELE ST,High Park,Nature/ Park,0.027640738406556224
156,ROYAL YORK RD AT DIXON RD,James Garden Park,Garden / Conservatory,0.031875612972517314
157,ROYAL YORK RD AT EGLINTON AVE WEST SOUTH SIDE,James Garden Park,Garden / Conservatory,0.013467495538434614
158,SENTINEL RD AT FINCH AVE WEST,Black Creek Pioneer Village,Museum,0.02351404513947498
159,SENTINEL RD AT THE POND RD,Black Creek Pioneer Village,Museum,0.01698780957092367
160,SEWELLS RD AT BRENYON WAY EAST SIDE,Chinese Cultural Centre of Greater Toronto,Attraction,0.021457946044294875
161,SEWELLS RD AT BRENYON WAY,Chinese Cultural Centre of Greater Toronto,Attraction,0.021017374162032677
162,SEWELLS RD AT MCLEVIN AVE,Chinese Cultural Centre of Greater Toronto,Attraction,0.02379964547813534
163,SHEPPARD AVE EAST AT COMMONS DR,CF Fairview Mall,Landmark,0.024089209954058367
164,SHEPPARD AVE EAST AT COMMONS DR,CF Fairview Mall,Landmark,0.02371924130475866
165,SHEPPARD AVE EAST AT MEADOWVALE RD,Rouge National Urban Park,Nature/ Park,0.012209507771652531
166,SHEPPARD AVE EAST AT VICTORIA PARK AVE EAST SIDE,CF Fairview Mall,Landmark,0.022504169661637225
167,SHEPPARD AVE WEST AT JANE ST EAST SIDE,Downsview Park,Nature/ Park,0.03488057958657253
168,SHEPPARD AVE WEST AT SENTINEL RD,Downsview Park,Nature/ Park,0.01359946566519572
169,SHEPPARD AVE WEST AT WILLIAM R ALLEN RD WEST SIDE,Downsview Park,Nature/ Park,0.015141928754360767
170,SHERWAY GARDENS RD AT SHERWAY GATE (MALL),CF Sherway Gardens,Landmark,0.004451062427231847
171,SHERWAY GARDENS RD AT SHERWAY GATE (MALL) WEST SIDE,CF Sherway Gardens,Landmark,0.004105663662808376
172,SHERWAY GARDENS RD AT SHERWAY GATE (MALL),CF Sherway Gardens,Landmark,0.004281301896643981
173,SHERWAY GARDENS RD AT SHERWAY GATE MALL),CF Sherway Gardens,Landmark,0.004168519645672547
174,MAIN ST AT DANFORTH AVE,Kew Gardens Park,Nature/ Park,0.016248873884654538
175,MAIN ST AT DANFORTH AVE,Kew Gardens Park,Nature/ Park,0.01599484250452218
176,MAIN ST AT DONCASTER AVE,Kew Gardens Park,Nature/ Park,0.020007662309674455
177,MAIN ST AT GERRARD ST EAST,Kew Gardens Park,Nature/ Park,0.012134303714864651
178,MAIN ST AT GERRARD ST EAST,Kew Gardens Park,Nature/ Park,0.012244364209174604
179,MARKHAM RD AT PASSMORE AVE NORTH SIDE,Chinese Cultural Centre of Greater Toronto,Attraction,0.038575519565572085
180,MARTIN GROVE RD AT FINCH AVE WEST NORTH SIDE,Humber Arboretum,Nature/ Park,0.016122821945893935
181,MARTIN GROVE RD AT JOHN GARLAND BLVD,Woodbine Shopping Centre and Fantasy Fair,Attraction,0.014340216013489424
182,MARTIN GROVE RD AT MERCURY RD,Woodbine Shopping Centre and Fantasy Fair,Attraction,0.01350411372173247
183,WESTHUMBER BLVD AT MARTIN GROVE RD NORTH SIDE,Woodbine Shopping Centre and Fantasy Fair,Attraction,0.013752246127588852
184,2061 MCCOWAN RD,Chinese Cultural Centre of Greater Toronto,Attraction,0.027817677203422313
185,MCCOWAN RD AT BUSHBY DR NORTH SIDE,Scarborough Museum,Museum,0.01543395101403567
186,MCCOWAN RD AT ELSON ST,Chinese Cultural Centre of Greater Toronto,Attraction,0.05737974866754212
187,MCCOWAN RD AT STEELES AVE EAST NORTH SIDE,Chinese Cultural Centre of Greater Toronto,Attraction,0.05466773947038873
188,MCCOWAN RD AT STEELES AVE EAST SOUTH SIDE,Chinese Cultural Centre of Greater Toronto,Attraction,0.05370172102942177
189,MCCOWAN RD AT TOWN CENTRE CRT,Scarborough Museum,Museum,0.015192709197778499
190,1020 MCNICOLL AVE,CF Fairview Mall,Landmark,0.026021592125494437
191,MCNICOLL AVE AT SILVER SPRINGS BLVD,CF Fairview Mall,Landmark,0.048393655577742396
192,MCNICOLL AVE AT SILVER SPRINGS BLVD,CF Fairview Mall,Landmark,0.04872809744596992
193,MCNICOLL AVE AT VICTORIA PARK AVE,CF Fairview Mall,Landmark,0.025370237737093185
194,MEADOWVALE RD AT SHEPPARD AVE EAST,Rouge National Urban Park,Nature/ Park,0.011810334534802652
195,MILITARY TRAIL AT MORNINGSIDE AVE,Cedar Ridge Creative Centre,Gallery,0.03258399149311912
196,MILLWOOD RD AT OVERLEA BLVD NORTH SIDE,Todmorden Mills Heritage Site,Landmark,0.015385856139314136
197,MILLWOOD RD AT OVERLEA BLVD,Todmorden Mills Heritage Site,Landmark,0.015553055008111254
198,MORNINGSIDE AVE AT CASEBRIDGE CRT NORTH SIDE,Toronto Zoo,Attraction,0.029696632124040435
199,MORNINGSIDE AVE AT JOHN STONER DR SOUTH SIDE,Toronto Zoo,Attraction,0.030697001947310884
200,NIGHTSTAR RD AT MORNINGSIDE AVE NORTH SIDE,Chinese Cultural Centre of Greater Toronto,Attraction,0.026873199616392136
201,MORNINGSIDE AVE AT WALKWAY SOUTH OF OASIS,Chinese Cultural Centre of Greater Toronto,Attraction,0.029875823167307632
202,MORNING STAR DR AT CATALPA RD,BAPS Shri Swaminarayan Mandir,Landmark,0.028317710584232228
203,MORNING STAR DR AT CATALPA RD,BAPS Shri Swaminarayan Mandir,Landmark,0.0279037891988432
204,MORNING STAR DR AT AIRPORT RD EAST SIDE,BAPS Shri Swaminarayan Mandir,Landmark,0.04002894551070609
205,MORNING STAR DR AT LANCASTER AVE,BAPS Shri Swaminarayan Mandir,Landmark,0.03639791297922023
206,MORNING STAR DR AT MANION RD,BAPS Shri Swaminarayan Mandir,Landmark,0.03674348316146387
207,MORNING STAR DR AT REINDEER DR WEST SIDE,BAPS Shri Swaminarayan Mandir,Landmark,0.035041897898664395
208,MORNING STAR DR AT REINDEER DR,BAPS Shri Swaminarayan Mandir,Landmark,0.03435405483448505
209,MORTIMER AVE AT COXWELL AVE WEST SIDE (MICHAEL GARRON HOSPITAL),Ontario Science Centre,Attraction,0.029933248136616058
210,NEILSON RD AT FINCH AVE EAST SOUTH SIDE,Chinese Cultural Centre of Greater Toronto,Attraction,0.019691671763190255
211,NEILSON RD AT FINCH AVE EAST SOUTH SIDE,Chinese Cultural Centre of Greater Toronto,Attraction,0.019850324819849576
212,OAKWOOD AVE AT EGLINTON AVE WEST SOUTH SIDE,Solar Stage Children's Theatre,Performing Arts,0.02405379271842119
213,OAKWOOD AVE AT ROGERS RD,Solar Stage Children's Theatre,Performing Arts,0.015524352632413288
214,O'CONNOR DR AT PAPE AVE,Todmorden Mills Heritage Site,Landmark,0.010803115269493119
215,OLD WESTON RD AT ST CLAIR AVE WEST NORTH SIDE,Taras H. Shevchenko Museum,Museum,0.01786365215603285
216,OLD WESTON RD AT ST CLAIR AVE WEST,Taras H. Shevchenko Museum,Museum,0.017147387714974885
217,OLD WESTON RD AT ST CLAIR AVE WEST,Taras H. Shevchenko Museum,Museum,0.017609203697504315
218,OSSINGTON AVE AT BLOOR ST WEST,Lower Ossington Theatre,Performing Arts,0.01465062059246766
219,OSSINGTON AVE AT BLOOR ST WEST,Lower Ossington Theatre,Performing Arts,0.014999452523148897
220,OVERLEA BLVD AT MILLWOOD RD EAST SIDE,Todmorden Mills Heritage Site,Landmark,0.016158106836315068
221,OVERLEA BLVD AT MILLWOOD RD,Todmorden Mills Heritage Site,Landmark,0.015826238149608853
222,OVERLEA BLVD AT THORNCLIFFE PARK DR (EAST),Ontario Science Centre,Attraction,0.012738937519034052
223,PAPE AVE AT LIPTON AVE NORTH SIDE,Riverdale Park (East and West),Nature/ Park,0.011640259407271942
224,PAPE AVE AT O'CONNOR DR NORTH SIDE,Todmorden Mills Heritage Site,Landmark,0.011107390678547033
225,PARLIAMENT ST AT CARLTON ST,Winchester Street Theatre,Performing Arts,0.0046055085022246285
226,PARLIAMENT ST AT GERRARD ST EAST,Native Earth Performing Arts & Aki Studio,Performing Arts,0.005427605636653262
227,PETER KAISER GATE AT STEELES AVE WEST,Black Creek Pioneer Village,Museum,0.009214047970568545
228,PHARMACY AVE AT ELLESMERE RD,Aga Khan Museum,Museum,0.03833578869371472
229,PORT UNION RD AT ADENMORE RD NORTH SIDE,Rouge Beach Park,Nature/ Park,0.020168023077804877
230,FINCH AVE WEST AT DUFFERIN ST,Downsview Park,Nature/ Park,0.02312440484886003
231,FINCH AVE WEST AT JANE ST,Black Creek Pioneer Village,Museum,0.01970498309236872
232,FINCH AVE WEST AT MARTIN GROVE RD WEST SIDE,Humber Arboretum,Nature/ Park,0.015240657762533583
233,FINCH AVE WEST AT RUMIKE RD EAST SIDE,Black Creek Pioneer Village,Museum,0.04312109199148641
234,FINCH AVE WEST AT SENLAC RD,Sarah and Chaim Neuberger Holocaust Education Centre,Museum,0.014437477109000955
235,FINCH AVE WEST AT SENTINEL RD EAST SIDE,Downsview Park,Nature/ Park,0.023791465550903418
236,FINCH AVE WEST AT WILMINGTON AVE,Sarah and Chaim Neuberger Holocaust Education Centre,Museum,0.020218033269556002
237,FLEET ST AT BATHURST ST,Billy Bishop Toronto City Airport,Transportation,0.002898884488441337
238,FRESHMEADOW DR AT DON MILLS RD,Historic Zion Schoolhouse,Museum,0.017470007525232437
239,FRESHMEADOW DR AT DON MILLS RD,Historic Zion Schoolhouse,Museum,0.017358185543070916
240,FRONT ST EAST AT BERKELEY ST,Berkeley Street Theatre,Performing Arts,0.0012235086538114044
241,FRONT ST WEST AT BAY ST EAST SIDE (UNION STATION),Scotiabank Arena (formerly Air Canada Centre),Sports / Entertainment Venue,0.0006246658179121851
242,GLEN RD AT SOUTH DR,Japan Foundation,Museum,0.011352363933055316
243,LAWSON RD AT KINGSTON RD (HIGHWAY 2A OVERPASS),Rouge National Urban Park,Nature/ Park,0.036402995133375075
244,HIGHLAND CREEK OVERPASS AT KINGSTON RD,Rouge National Urban Park,Nature/ Park,0.03606524052481967
245,HIGHLAND CREEK OVERPASS AT KINGSTON RD,Rouge National Urban Park,Nature/ Park,0.036252827267258994
246,HIGHWAY 27 AT QUEENS PLATE DR (WOODBINE MALL),Woodbine Shopping Centre and Fantasy Fair,Attraction,0.0020848981312108304
247,HUMBER COLLEGE BLVD AT CARRIER DR,Humber Arboretum,Nature/ Park,0.007008807044966418
248,HUMBER COLLEGE BLVD AT HUMBERLINE DR SOUTH SIDE,Humber Arboretum,Nature/ Park,0.002337204839493207
249,HUMBER COLLEGE BLVD AT HUMBERLINE DR,Humber Arboretum,Nature/ Park,0.002980719042934289
250,HUMBERLINE DR AT HUMBER COLLEGE BLVD WEST SIDE,Humber Arboretum,Nature/ Park,0.003142426338079186
251,HUMBERLINE DR AT HUMBER COLLEGE BLVD,Humber Arboretum,Nature/ Park,0.002996191906772131
252,ISLINGTON AVE AT BLOOR ST WEST NORTH SIDE,Montgomery's Inn,Museum,0.008474388998460435
253,ISLINGTON AVE AT BLOOR ST WEST,Montgomery's Inn,Museum,0.00945477207755412
254,ISLINGTON AVE AT BLOOR ST WEST,Montgomery's Inn,Museum,0.008990276896883805
255,ISLINGTON AVE AT CENTRAL PARK ROADWAY SOUTH SIDE,Montgomery's Inn,Museum,0.005617971337456418
